2019-07-08 12:10:08.400 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562559008400; nextExpiration=1562559008400; keyCount=0; hasEvents=false; eval=false
2019-07-08 12:10:09.415 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562559009415; nextExpiration=1562559009400; keyCount=0; hasEvents=false; eval=false
2019-07-08 12:10:09.415 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562559009415; nextExpiration=1562559009400; keyCount=0; hasEvents=false; eval=false
2019-07-08 12:10:10.431 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562559010431; nextExpiration=1562559010415; keyCount=0; hasEvents=false; eval=false
2019-07-08 12:10:10.431 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562559010431; nextExpiration=1562559010415; keyCount=0; hasEvents=false; eval=false
2019-07-08 12:10:11.431 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562559011431; nextExpiration=1562559011431; keyCount=0; hasEvents=false; eval=false
2019-07-08 12:10:11.431 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562559011431; nextExpiration=1562559011431; keyCount=0; hasEvents=false; eval=false
2019-07-08 12:10:12.438 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562559012438; nextExpiration=1562559012431; keyCount=0; hasEvents=false; eval=false
2019-07-08 12:10:12.438 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562559012438; nextExpiration=1562559012431; keyCount=0; hasEvents=false; eval=false
2019-07-08 12:10:13.453 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562559013453; nextExpiration=1562559013438; keyCount=0; hasEvents=false; eval=false
2019-07-08 12:10:13.453 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562559013453; nextExpiration=1562559013438; keyCount=0; hasEvents=false; eval=false
2019-07-08 12:10:14.469 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562559014469; nextExpiration=1562559014453; keyCount=0; hasEvents=false; eval=false
2019-07-08 12:10:14.469 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562559014469; nextExpiration=1562559014453; keyCount=0; hasEvents=false; eval=false
2019-07-08 12:10:15.485 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562559015485; nextExpiration=1562559015469; keyCount=0; hasEvents=false; eval=false
2019-07-08 12:10:15.485 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562559015485; nextExpiration=1562559015469; keyCount=0; hasEvents=false; eval=false
2019-07-08 12:10:16.500 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562559016500; nextExpiration=1562559016485; keyCount=0; hasEvents=false; eval=false
2019-07-08 12:10:16.500 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562559016500; nextExpiration=1562559016485; keyCount=0; hasEvents=false; eval=false
2019-07-08 12:10:17.516 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562559017516; nextExpiration=1562559017500; keyCount=0; hasEvents=false; eval=false
2019-07-08 12:10:17.516 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562559017516; nextExpiration=1562559017500; keyCount=0; hasEvents=false; eval=false
