2019-07-08 11:48:27.164 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557707164; nextExpiration=1562557707148; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:28.179 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557708179; nextExpiration=1562557708164; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:28.179 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557708179; nextExpiration=1562557708164; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:29.179 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557709179; nextExpiration=1562557709179; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:29.179 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557709179; nextExpiration=1562557709179; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:30.195 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557710195; nextExpiration=1562557710179; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:30.195 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557710195; nextExpiration=1562557710179; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:31.210 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557711210; nextExpiration=1562557711195; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:31.210 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557711210; nextExpiration=1562557711195; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:32.224 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557712224; nextExpiration=1562557712210; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:32.224 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557712224; nextExpiration=1562557712210; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:33.240 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557713240; nextExpiration=1562557713224; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:33.240 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557713240; nextExpiration=1562557713224; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:34.255 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557714255; nextExpiration=1562557714240; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:34.255 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557714255; nextExpiration=1562557714240; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:35.255 [DEBUG] [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2019-07-08 11:48:35.271 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557715271; nextExpiration=1562557715255; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:35.271 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557715271; nextExpiration=1562557715255; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:36.286 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557716286; nextExpiration=1562557716271; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:36.286 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557716286; nextExpiration=1562557716271; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:37.299 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557717299; nextExpiration=1562557717286; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:37.299 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557717299; nextExpiration=1562557717286; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:38.314 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557718314; nextExpiration=1562557718299; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:38.314 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557718314; nextExpiration=1562557718299; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:39.330 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557719330; nextExpiration=1562557719314; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:39.330 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557719330; nextExpiration=1562557719314; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:40.345 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557720345; nextExpiration=1562557720330; keyCount=0; hasEvents=false; eval=false
